dataset,method,ndcg_at_10,recall_at_20
arguana,anchorqe_fixed_015,0.43424173328578203,0.9407302038880987
arguana,desa_de,0.43384568787257666,0.9390706495969653
arguana,expansion_only,0.3642369847470239,0.8579895685158843
arguana,original,0.43430282877929105,0.9395448079658606
arguana,query_expansion_reencode,0.4270214878213879,0.9345661450924608
fiqa,anchorqe_fixed_015,0.4093061557926591,0.545851759123364
fiqa,desa_de,0.41103831259963886,0.5476305016428473
fiqa,expansion_only,0.30461020552472995,0.44650470985347523
fiqa,original,0.40347442843300146,0.542918466992541
fiqa,query_expansion_reencode,0.3767590025238409,0.5293479397260261
nfcorpus,anchorqe_fixed_015,0.35042327675908475,0.20182045866388956
nfcorpus,desa_de,0.3584404230955346,0.21562495952010213
nfcorpus,expansion_only,0.3406013598460314,0.21099159422863398
nfcorpus,original,0.34545229826930474,0.20038051690707379
nfcorpus,query_expansion_reencode,0.34934089058926787,0.21552484348231735
scidocs,anchorqe_fixed_015,0.20693845419250556,0.2831166666666667
scidocs,desa_de,0.20757386979534997,0.28565
scidocs,expansion_only,0.17913215402906013,0.25793333333333335
scidocs,original,0.205177852794218,0.2813333333333334
scidocs,query_expansion_reencode,0.203748889049775,0.2848055555555556
scifact,anchorqe_fixed_015,0.7173756828315125,0.8891111111111112
scifact,desa_de,0.7201335938030657,0.888888888888889
scifact,expansion_only,0.7155169177819676,0.8953333333333334
scifact,original,0.7127069247605036,0.8729999999999999
scifact,query_expansion_reencode,0.7165440029422838,0.8883333333333333
trec-covid,anchorqe_fixed_015,0.7584583169478566,0.0392654036044948
trec-covid,desa_de,0.7940884911177278,0.04011092553119416
trec-covid,expansion_only,0.5705482765565134,0.0332846964415514
trec-covid,original,0.7383860747638938,0.038168264283059056
trec-covid,query_expansion_reencode,0.7358627226050574,0.0387275948950529
webis-touche2020,anchorqe_fixed_015,0.26358690249170746,0.24596149941348008
webis-touche2020,desa_de,0.28372185326823113,0.253476278989556
webis-touche2020,expansion_only,0.2046079362426197,0.20587700271715142
webis-touche2020,original,0.25794277960433387,0.24520466469305993
webis-touche2020,query_expansion_reencode,0.2693929689398066,0.2441601619927162
Macro,anchorqe_fixed_015,0.44861864604301543,0.4494081574958721
Macro,desa_de,0.45840603307887495,0.4529217434527934
Macro,expansion_only,0.382750547818278,0.4154163197747662
Macro,original,0.44249188391493516,0.4457928648821325
Macro,query_expansion_reencode,0.43980999492448847,0.44792365343963747
