dataset,method,ndcg_at_10,recall_at_20
arguana,anchorqe_fixed_015,0.43424939239170374,0.9403910348116358
arguana,anchorqe_sc_matched,0.43398490580264637,0.9399141630901288
arguana,desa_de,0.43382489909894567,0.938960419647115
arguana,original,0.4343065770209535,0.9399141630901288
fiqa,anchorqe_fixed_015,0.40875227989828905,0.5446763942076442
fiqa,anchorqe_sc_matched,0.41165986614407624,0.5440991372631998
fiqa,desa_de,0.41046615011515997,0.5459565376752876
fiqa,original,0.4029422241795565,0.541706435925186
nfcorpus,anchorqe_fixed_015,0.3521616015851529,0.20190196590332518
nfcorpus,anchorqe_sc_matched,0.3565815218685769,0.20408583572114183
nfcorpus,desa_de,0.3598369019950294,0.21280458999791388
nfcorpus,original,0.3470677379257726,0.20033727077561322
scidocs,anchorqe_fixed_015,0.20669102951698853,0.2835181451612903
scidocs,anchorqe_sc_matched,0.2070585448321778,0.28518145161290326
scidocs,desa_de,0.20743114344612568,0.28607190860215054
scidocs,original,0.20472418749406723,0.28178763440860216
scifact,anchorqe_fixed_015,0.7204361419846761,0.8860730593607307
scifact,anchorqe_sc_matched,0.7239469224704436,0.8910958904109588
scifact,desa_de,0.7228651168795737,0.8858447488584476
scifact,original,0.7160477905277512,0.8695205479452055
trec-covid,anchorqe_fixed_015,0.7780688057274725,0.040660953814333045
trec-covid,anchorqe_sc_matched,0.7835231263630016,0.04099158715825121
trec-covid,desa_de,0.8113652195833523,0.04154705285430989
trec-covid,original,0.7513309634460116,0.03939199496285392
webis-touche2020,anchorqe_fixed_015,0.2654751800637498,0.24070804446986818
webis-touche2020,anchorqe_sc_matched,0.26254390917497494,0.24178714782823146
webis-touche2020,desa_de,0.27821907441403076,0.2492370080126103
webis-touche2020,original,0.25933778387934536,0.2406823845125462
Macro,anchorqe_fixed_015,0.45226206159543325,0.4482756568184039
Macro,anchorqe_sc_matched,0.45418554237941394,0.44959360186925934
Macro,desa_de,0.46057264364745965,0.45148889509254786
Macro,original,0.44510818063906543,0.4447629188028765
