dataset,method,ndcg_at_10,recall_at_20
arguana,desa,0.3991294213673484,0.923660502607871
arguana,qudar_complete_confidence_rrf_matched,0.39308890393216656,0.9203413940256046
arguana,qudar_complete_uniform_rrf_matched,0.3985471679528942,0.9253200568990043
arguana,qudar_simple_rrf_matched,0.3985471679528942,0.9253200568990043
fiqa,desa,0.3780423656299448,0.5449657238623288
fiqa,qudar_complete_confidence_rrf_matched,0.38325075498854116,0.5565659263575929
fiqa,qudar_complete_uniform_rrf_matched,0.38314530655944823,0.5555469179311773
fiqa,qudar_simple_rrf_matched,0.38328069874435255,0.5553540166966093
nfcorpus,desa,0.3793063400880092,0.21952937736602907
nfcorpus,qudar_complete_confidence_rrf_matched,0.37744709142304406,0.22323011821943672
nfcorpus,qudar_complete_uniform_rrf_matched,0.37803536843932894,0.2235234851953832
nfcorpus,qudar_simple_rrf_matched,0.37800772252177745,0.2227442093435546
scidocs,desa,0.1939894023139877,0.27867777777777775
scidocs,qudar_complete_confidence_rrf_matched,0.19541574623289398,0.2805944444444444
scidocs,qudar_complete_uniform_rrf_matched,0.19563164153725915,0.2815944444444444
scidocs,qudar_simple_rrf_matched,0.19574166004230634,0.28112777777777775
scifact,desa,0.742740181615894,0.92
scifact,qudar_complete_confidence_rrf_matched,0.7402333751131962,0.9211111111111111
scifact,qudar_complete_uniform_rrf_matched,0.7402676670732354,0.9188888888888889
scifact,qudar_simple_rrf_matched,0.7402676670732354,0.9211111111111111
trec-covid,desa,0.8223990344221792,0.04347881741257187
trec-covid,qudar_complete_confidence_rrf_matched,0.8227395130402655,0.04361999833146598
trec-covid,qudar_complete_uniform_rrf_matched,0.8232741641992363,0.043625419533729136
trec-covid,qudar_simple_rrf_matched,0.8232746105659831,0.043789699815710494
webis-touche2020,desa,0.407119438509186,0.3560404415782501
webis-touche2020,qudar_complete_confidence_rrf_matched,0.4115673045169498,0.35004501749506195
webis-touche2020,qudar_complete_uniform_rrf_matched,0.41305322064770233,0.35003601526651634
webis-touche2020,qudar_simple_rrf_matched,0.41373055737630426,0.35003601526651634
macro_equal_dataset,desa,0.47467516913522134,0.4694789486578327
macro_equal_dataset,qudar_complete_confidence_rrf_matched,0.47482038417815103,0.4707868585692454
macro_equal_dataset,qudar_complete_uniform_rrf_matched,0.4759935052013006,0.47121931830844904
macro_equal_dataset,qudar_simple_rrf_matched,0.476121440610979,0.4713546981300406
