dataset,method,ndcg_at_10,recall_at_20,available_entries
arguana,qudar_confidence_matched,0.42322096386753294,0.944760550023708,4000.0
arguana,qudar_uniform_score_matched,0.4258060427606064,0.9454717875770507,4000.0
fiqa,qudar_confidence_matched,0.4050381020808152,0.5660150620412966,3998.060185185185
fiqa,qudar_uniform_score_matched,0.40458353743468917,0.5628714863668567,3998.060185185185
nfcorpus,qudar_confidence_matched,0.37983437324997743,0.22453807064905837,3404.8978328173375
nfcorpus,qudar_uniform_score_matched,0.3803703883723108,0.22536552430160686,3404.8978328173375
scidocs,qudar_confidence_matched,0.19982939846010636,0.28328888888888887,3997.424
scidocs,qudar_uniform_score_matched,0.199980546182812,0.28332222222222225,3997.424
scifact,qudar_confidence_matched,0.7508758785800936,0.9173333333333333,3980.1366666666668
scifact,qudar_uniform_score_matched,0.7510759269525963,0.9184444444444445,3980.1366666666668
trec-covid,qudar_confidence_matched,0.827473647088921,0.043779943799056115,4000.0
trec-covid,qudar_uniform_score_matched,0.828700513493254,0.04375277029309587,4000.0
webis-touche2020,qudar_confidence_matched,0.4266919273641367,0.3594423451370047,4000.0
webis-touche2020,qudar_uniform_score_matched,0.4270438376369249,0.35843049875085303,4000.0
macro_equal_dataset,qudar_confidence_matched,0.4875663272416548,0.47702259912462086,3911.502669238456
macro_equal_dataset,qudar_uniform_score_matched,0.48822297040474194,0.4768083905651614,3911.502669238456
