dataset,method,w_os,w_od,w_es,w_ed
arguana,qudar_confidence_matched,0.26986667272892884,0.23358574963263992,0.2640640416479534,0.23248353599047786
arguana,qudar_uniform_score_matched,0.25,0.25,0.25,0.25
fiqa,qudar_confidence_matched,0.24945651632632126,0.25117006962725247,0.24903961269414787,0.25033380135227834
fiqa,qudar_uniform_score_matched,0.25,0.25,0.25,0.25
nfcorpus,qudar_confidence_matched,0.2558526049080942,0.24644395386675752,0.2510515549302346,0.24665188629491372
nfcorpus,qudar_uniform_score_matched,0.25,0.25,0.25,0.25
scidocs,qudar_confidence_matched,0.25141173286925667,0.24824839472189206,0.2518199206220134,0.2485199517868379
scidocs,qudar_uniform_score_matched,0.25,0.25,0.25,0.25
scifact,qudar_confidence_matched,0.2540543529185295,0.2454061620556319,0.2550228562207101,0.24551662880512845
scifact,qudar_uniform_score_matched,0.25,0.25,0.25,0.25
trec-covid,qudar_confidence_matched,0.25044069258577595,0.24930684596542974,0.25084024986408743,0.24941221158470692
trec-covid,qudar_uniform_score_matched,0.25,0.25,0.25,0.25
webis-touche2020,qudar_confidence_matched,0.24825148126928157,0.25226003964385935,0.24940368179842673,0.2500847972884323
webis-touche2020,qudar_uniform_score_matched,0.25,0.25,0.25,0.25
