dataset,method,os_depth,od_depth,es_depth,ed_depth,total_depth
arguana,desa,,,,,265.8651019440493
arguana,qudar_complete_confidence_rrf,216.5040303461356,178.04409672830727,210.7145566619251,176.88762446657182,782.1503082029398
arguana,qudar_complete_uniform_rrf,159.93006164058795,159.48672356567093,159.3371266002845,159.11925082977714,637.8731626363206
fiqa,desa,,,,,2161.7880658436216
fiqa,qudar_complete_confidence_rrf,2309.329218106996,2396.8271604938273,2355.91975308642,2395.794238683128,9457.87037037037
fiqa,qudar_complete_uniform_rrf,2245.0745884773664,2330.659979423868,2330.5385802469136,2330.196502057613,9236.469650205761
nfcorpus,desa,,,,,536.577915376677
nfcorpus,qudar_complete_confidence_rrf,226.09184726522187,885.327141382869,911.625386996904,887.2084623323013,2910.252837977296
nfcorpus,qudar_complete_uniform_rrf,222.1124871001032,896.2569659442725,894.3312693498452,895.6893704850361,2908.390092879257
scidocs,desa,,,,,835.9983333333333
scidocs,qudar_complete_confidence_rrf,688.0476666666667,772.2653333333334,789.2146666666666,777.0833333333334,3026.611
scidocs,qudar_complete_uniform_rrf,647.3003333333334,715.8873333333333,715.6903333333333,715.452,2794.33
scifact,desa,,,,,609.9111111111112
scifact,qudar_complete_confidence_rrf,447.8222222222222,478.9188888888889,492.14666666666665,478.1822222222222,1897.07
scifact,qudar_complete_uniform_rrf,427.44,457.50666666666666,455.23333333333335,457.08222222222224,1797.2622222222221
trec-covid,desa,,,,,3149.213333333333
trec-covid,qudar_complete_confidence_rrf,3693.7066666666665,3884.62,3864.64,3923.3,15366.266666666666
trec-covid,qudar_complete_uniform_rrf,3842.633333333333,3842.1,3842.0666666666666,3841.653333333333,15368.453333333333
webis-touche2020,desa,,,,,2255.190476190476
webis-touche2020,qudar_complete_confidence_rrf,1407.299319727891,1484.9591836734694,1431.3537414965986,1446.0680272108843,5769.680272108843
webis-touche2020,qudar_complete_uniform_rrf,1401.8027210884354,1401.639455782313,1401.578231292517,1400.8299319727892,5605.850340136054
macro_equal_dataset,desa,,,,,1402.0777624475145
macro_equal_dataset,qudar_complete_confidence_rrf,1284.1144244288284,1440.1374006429564,1436.5163959393117,1440.64627260692,5601.414493618016
macro_equal_dataset,qudar_complete_uniform_rrf,1278.041932139023,1400.505303530875,1399.8250772604133,1400.0032301286815,5478.375543058993
